lr,alpha,val_mse,val_mae,test_mse,test_mae
0.005,0.01,1.3087572,0.7814946,0.49932414,0.49524847
0.005,0.05,1.2764771,0.7762232,0.5103146,0.49951142
0.005,0.1,1.3070011,0.7853459,0.534902,0.5097366
0.005,0.3,1.6877567,0.9302968,0.59682137,0.5665798
0.003,0.01,1.3111702,0.78032225,0.49457452,0.49466416
0.003,0.05,1.2846698,0.77619207,0.48227552,0.4912595
0.003,0.1,1.2913336,0.780628,0.50793314,0.5014053
0.003,0.3,1.458862,0.84126985,0.5994122,0.5621287
0.001,0.01,1.3299168,0.7844506,0.46259174,0.4795837
0.001,0.05,1.308853,0.7793876,0.4769637,0.48692474
0.001,0.1,1.295162,0.77722895,0.49447045,0.49662688
0.001,0.3,1.298265,0.7832931,0.5597885,0.5307577
0.0005,0.01,1.3357295,0.78589433,0.45707136,0.47678903
0.0005,0.05,1.3224515,0.78243923,0.46341005,0.4794953
0.0005,0.1,1.3099777,0.7795709,0.47683668,0.48724592
0.0005,0.3,1.2908849,0.777743,0.52237934,0.5122291
0.0001,0.01,1.3396293,0.78693444,0.46560624,0.4879078
0.0001,0.05,1.3365748,0.7860796,0.4595992,0.4808009
0.0001,0.1,1.3329352,0.7850813,0.45754805,0.47640702
0.0001,0.3,1.3206304,0.7819602,0.46476012,0.48031792
lr,alpha,val_mse,val_mae,test_mse,test_mae
0.005,0.01,1.3370497,0.7829542,0.4904104,0.49085313
0.005,0.05,1.3287867,0.7831052,0.5156802,0.5012853
0.005,0.1,1.3513652,0.79342604,0.51092255,0.5043405
0.005,0.3,1.6964233,0.9155283,0.5930509,0.5686223
0.003,0.01,1.34015,0.78400403,0.47677183,0.48806706
0.003,0.05,1.3379178,0.78389275,0.4853483,0.49240178
0.003,0.1,1.3437221,0.791009,0.50516933,0.5006947
0.003,0.3,1.4950706,0.8454106,0.6183646,0.57633656
0.001,0.01,1.3388838,0.7858185,0.46356,0.47998816
0.001,0.05,1.3376266,0.78423977,0.47751176,0.4871116
0.001,0.1,1.3372735,0.78452694,0.49498877,0.49685812
0.001,0.3,1.3543967,0.7955226,0.558422,0.53093606
0.0005,0.01,1.339714,0.7865416,0.45815036,0.47753185
0.0005,0.05,1.3382791,0.78516537,0.4637245,0.47958478
0.0005,0.1,1.336834,0.7842358,0.47697565,0.48726597
0.0005,0.3,1.3395615,0.78680545,0.52180517,0.5121572
0.0001,0.01,1.3403472,0.787059,0.46593335,0.48818973
0.0001,0.05,1.3399816,0.7866833,0.45980048,0.48101816
0.0001,0.1,1.3395073,0.7862494,0.45765272,0.47651953
0.0001,0.3,1.3377488,0.7849464,0.46474025,0.48030293
lr,alpha,val_mse,val_mae,test_mse,test_mae
0.005,0.01,1.3811729,0.805837,0.4748726,0.4881164
0.005,0.05,1.4006795,0.8155687,0.5243623,0.50352997
0.005,0.1,1.4678692,0.84296536,0.53161234,0.51057476
0.005,0.3,1.8355017,0.96463037,0.63284165,0.58543116
0.003,0.01,1.3487123,0.7927746,0.50403446,0.49760422
0.003,0.05,1.3655629,0.8016742,0.48407724,0.4902951
0.003,0.1,1.3981426,0.81506574,0.509701,0.5013617
0.003,0.3,1.6311126,0.9128358,0.6071505,0.5683971
0.001,0.01,1.3353113,0.78538156,0.45965186,0.4780284
0.001,0.05,1.3319275,0.78539366,0.47415584,0.48547295
0.001,0.1,1.3387531,0.7898189,0.49495152,0.49667555
0.001,0.3,1.3910267,0.81260496,0.5595983,0.53100985
0.0005,0.01,1.3376931,0.78614426,0.45578238,0.47621787
0.0005,0.05,1.3324201,0.78454155,0.46193743,0.47865143
0.0005,0.1,1.3306713,0.78470623,0.47592017,0.48677397
0.0005,0.3,1.34788,0.7946104,0.52299404,0.5123067
0.0001,0.01,1.3399475,0.7869757,0.46561646,0.48795125
0.0001,0.05,1.3382015,0.7863337,0.45937222,0.48071292
0.0001,0.1,1.3363236,0.78567,0.4571488,0.47617742
0.0001,0.3,1.3316867,0.7843388,0.46438146,0.4800623
lr,alpha,val_mse,val_mae,test_mse,test_mae,og_mse,og_mae,imp mse,imp mae
0.005,0.01,1.3811729,0.805837,0.4748726,0.4881164
0.005,0.05,1.4006795,0.8155687,0.5243623,0.50352997
0.005,0.1,1.4678692,0.84296536,0.53161234,0.51057476
0.005,0.3,1.8355017,0.96463037,0.63284165,0.58543116
0.003,0.01,1.3487123,0.7927746,0.50403446,0.49760422
0.003,0.05,1.3655629,0.8016742,0.48407724,0.4902951
0.003,0.1,1.3981426,0.81506574,0.509701,0.5013617
0.003,0.3,1.6311126,0.9128358,0.6071505,0.5683971
0.001,0.01,1.3353113,0.78538156,0.45965186,0.4780284
0.001,0.05,1.3319275,0.78539366,0.47415584,0.48547295
0.001,0.1,1.3387531,0.7898189,0.49495152,0.49667555
0.001,0.3,1.3910267,0.81260496,0.5595983,0.53100985
0.0005,0.01,1.3376931,0.78614426,0.45578238,0.47621787
0.0005,0.05,1.3324201,0.78454155,0.46193743,0.47865143
0.0005,0.1,1.3306713,0.78470623,0.47592017,0.48677397
0.0005,0.3,1.34788,0.7946104,0.52299404,0.5123067
0.0001,0.01,1.3399475,0.7869757,0.46561646,0.48795125
0.0001,0.05,1.3382015,0.7863337,0.45937222,0.48071292
0.0001,0.1,1.3363236,0.78567,0.4571488,0.47617742
